   Average 

Sample_Type m n Runtime
Random_Vector 1075 25000 10
Random_Vector 685 25000 10
Random_Vector 819 25000 10
Random_Vector 468 25000 10
Random_Vector 950 25000 10
Random_Vector 913 25000 10
Random_Vector 611 25000 10
Random_Vector 523 25000 10
Random_Vector 1351 25000 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 1 25000 10
Sorted_Vector 0 25000 10
Sorted_Vector 1 25000 10
Sorted_Vector 2 25000 10
Sorted_Vector 1 25000 10
Sorted_Vector 1 25000 10
Sorted_Vector 1 25000 10
Sorted_Vector 0 25000 10
Sorted_Vector 1 25000 10
Sorted_Vector 0 25000 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 1655 25000 10
Inverse_Sorted_Vector 1282 25000 10
Inverse_Sorted_Vector 1972 25000 10
Inverse_Sorted_Vector 2638 25000 10
Inverse_Sorted_Vector 1347 25000 10
Inverse_Sorted_Vector 1191 25000 10
Inverse_Sorted_Vector 2578 25000 10
Inverse_Sorted_Vector 961 25000 10
Inverse_Sorted_Vector 2701 25000 10
Inverse_Sorted_Vector 2509 25000 10
   Average 

Sample_Type m n Runtime
Random_Vector 591 25000 25
Random_Vector 875 25000 25
Random_Vector 1299 25000 25
Random_Vector 964 25000 25
Random_Vector 1380 25000 25
Random_Vector 1031 25000 25
Random_Vector 1347 25000 25
Random_Vector 1309 25000 25
Random_Vector 1293 25000 25
Random_Vector 1381 25000 25
   Average 

Sample_Type m n Runtime
Sorted_Vector 2 25000 25
Sorted_Vector 3 25000 25
Sorted_Vector 3 25000 25
Sorted_Vector 4 25000 25
Sorted_Vector 4 25000 25
Sorted_Vector 4 25000 25
Sorted_Vector 3 25000 25
Sorted_Vector 2 25000 25
Sorted_Vector 3 25000 25
Sorted_Vector 2 25000 25
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 2398 25000 25
Inverse_Sorted_Vector 2624 25000 25
Inverse_Sorted_Vector 1303 25000 25
Inverse_Sorted_Vector 1810 25000 25
Inverse_Sorted_Vector 1397 25000 25
Inverse_Sorted_Vector 2222 25000 25
Inverse_Sorted_Vector 939 25000 25
Inverse_Sorted_Vector 1546 25000 25
Inverse_Sorted_Vector 2650 25000 25
Inverse_Sorted_Vector 2626 25000 25
   Average 

Sample_Type m n Runtime
Random_Vector 1372 25000 50
Random_Vector 1380 25000 50
Random_Vector 1373 25000 50
Random_Vector 800 25000 50
Random_Vector 1015 25000 50
Random_Vector 673 25000 50
Random_Vector 716 25000 50
Random_Vector 839 25000 50
Random_Vector 1208 25000 50
Random_Vector 1381 25000 50
   Average 

Sample_Type m n Runtime
Sorted_Vector 4 25000 50
Sorted_Vector 6 25000 50
Sorted_Vector 9 25000 50
Sorted_Vector 8 25000 50
Sorted_Vector 5 25000 50
Sorted_Vector 5 25000 50
Sorted_Vector 4 25000 50
Sorted_Vector 4 25000 50
Sorted_Vector 4 25000 50
Sorted_Vector 7 25000 50
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 1429 25000 50
Inverse_Sorted_Vector 992 25000 50
Inverse_Sorted_Vector 2465 25000 50
Inverse_Sorted_Vector 2328 25000 50
Inverse_Sorted_Vector 1254 25000 50
Inverse_Sorted_Vector 1166 25000 50
Inverse_Sorted_Vector 1733 25000 50
Inverse_Sorted_Vector 2731 25000 50
Inverse_Sorted_Vector 2566 25000 50
Inverse_Sorted_Vector 1111 25000 50
   Average 

Sample_Type m n Runtime
Random_Vector 4763 50000 10
Random_Vector 3786 50000 10
Random_Vector 1991 50000 10
Random_Vector 4899 50000 10
Random_Vector 5372 50000 10
Random_Vector 5159 50000 10
Random_Vector 1951 50000 10
Random_Vector 4356 50000 10
Random_Vector 5189 50000 10
Random_Vector 2164 50000 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 2 50000 10
Sorted_Vector 2 50000 10
Sorted_Vector 2 50000 10
Sorted_Vector 3 50000 10
Sorted_Vector 4 50000 10
Sorted_Vector 3 50000 10
Sorted_Vector 2 50000 10
Sorted_Vector 2 50000 10
Sorted_Vector 2 50000 10
Sorted_Vector 2 50000 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 7677 50000 10
Inverse_Sorted_Vector 3750 50000 10
Inverse_Sorted_Vector 4288 50000 10
Inverse_Sorted_Vector 8429 50000 10
Inverse_Sorted_Vector 6964 50000 10
Inverse_Sorted_Vector 8363 50000 10
Inverse_Sorted_Vector 6026 50000 10
Inverse_Sorted_Vector 5923 50000 10
Inverse_Sorted_Vector 10260 50000 10
Inverse_Sorted_Vector 7667 50000 10
   Average 

Sample_Type m n Runtime
Random_Vector 4960 50000 25
Random_Vector 1973 50000 25
Random_Vector 4800 50000 25
